horizon_min,mae_naive,mae_model,best_iter,gamma
15,0.7495110034942627,0.7488119651885192,279,1.0
30,1.1563637256622314,1.150867161096596,444,1.0
60,1.7391077280044556,1.712507923587748,800,1.0
