horizon_min,mae_naive,mae_model,best_iter,gamma
15,0.7495110034942627,0.7488683968791555,181,1.0
30,1.1563637256622314,1.1517999067589295,469,1.0
60,1.7391077280044556,1.7226236562579942,800,1.0
